id_base out_group_openness bundesland frau alter migrant schulabschl wohnort religiousness reli_group relig_comm hierarchie hh_income_i hh_size hat_kinder employment Care Fairness Authority Loyalty Purity Liberty authorit zeitungen internet fernsehen radiosender social_media f_online_rel_behavior f_online_intensity control soc_trust Greece Italie Poland Romania former_SU former_Yugo Spain_Portugal Syria Turkey Vietnam other NA NET_Europe deutsch s_east_europa other_mig
63 .46664348 11 0 5 0 3 4 2 2 2 5 22.5 1 0 5 5 5.5 5.5 3.5 4.5 4 2 4 6 6 5 2 1.419121 3.2769775 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
64 1.4431622 5 0 2 1 3 1 3 3 4 6 12.5 2 0 4 6 6 6 6 6 2 3 3 4 5 5 5 3.8733366 2.339818 3 6 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
65 -.17014349 15 1 1 0 4 2 1 8 5 6 7.5 1 0 7 3 3.5 3.5 4.5 4 4 2 2 5 2 2 5 4.3963833 2.688612 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
66 .45831406 5 0 3 0 4 2 3 2 2 7 27.5 1 0 1 4.5 5 5 5 5 4.5 5 3 3 3 3 3 2.3464348 5.4450617 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
67 -.20811972 5 0 2 0 4 3 4 2 2 6 70 4 1 1 3.5 4 3.5 4 4 4 2 5 6 6 4 4 3.1535172 3.7368748 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
68 -.19377054 1 1 4 0 2 1 1 7 1 6 70 2 0 1 5.5 5.5 6 4.5 5.5 4.5 3 4 6 6 6 6 3.3045673 4.6829586 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
69 -.18798959 5 1 2 0 2 3 2 7 1 6 27.5 4 1 1 4 3.5 3.5 4 3.5 4 2 4 4 4 3 5 3.4794347 3.6470871 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
70 -.58234107 9 0 5 0 2 1 2 2 2 6 17.448772 1 0 8 5 3.5 4.5 4.5 5 3.5 3 2 3 6 6 5 2.2266963 3.5877783 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
71 2.1045561 5 1 2 1 3 4 5 2 2 7 70 3 1 1 5 6 5 4 5 3 2 6 5 6 5 6 1.4926445 5.8072081 3 6 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
72 -.90022141 14 0 5 0 4 2 1 7 1 3 22.5 2 0 5 3 6 4.5 3.5 6 3 6 6 6 6 6 2 1.0905138 5.3974352 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
73 .32267204 6 1 2 0 3 2 1 7 1 6 17.5 1 0 1 4 4.5 5 3 4.5 4 6 1 2 6 1 1 1.5588281 2.4349802 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
74 -.25507936 15 0 4 0 4 1 1 7 1 5 33.005348 2 0 1 5 5.5 5.5 4.5 5 4 5 5 6 5 5 6 3.5477071 4.6967602 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
75 .69083524 7 1 5 0 4 1 1 1 3 4 32.725731 2 0 1 5.5 6 3 3.5 3.5 4.5 2 2 5 6 6 6 3.4984457 5.2159452 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
76 .12869975 5 1 5 0 1 2 5 1 3 2 7.5 1 0 5 6 6 6 3.5 3.5 3.5 6 2 6 6 2 6 3.0070519 3.5423408 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
77 .7066198 6 1 3 0 3 3 1 7 1 7 45 1 0 1 2 5 3.5 2.5 5 6 1 4 6 6 5 2 1.3829832 4.809329 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
78 -.96202916 5 1 2 0 4 4 2 2 2 6 17.5 1 0 1 3.5 4 2.5 3 3 4.5 3 4 5 5 6 6 3.6353114 3.9720185 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
79 .60041958 14 1 3 0 2 1 1 7 1 3 27.5 3 1 2 4.5 5 5 3 6 4.5 5 1 5 6 5 6 2.9372611 4.8245411 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
80 -.64338201 5 0 5 0 5 4 6 1 3 5 7.5 1 0 8 4.5 5 5 3.5 4 4 6 2 6 6 4 6 1.8625724 3.7176781 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
81 -.69110847 7 0 4 0 2 1 2 2 2 7 27.5 2 0 1 5.5 5 6 3.5 4.5 3 3 1 6 6 6 6 3.6542542 5.6235991 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
82 1.9775878 5 0 2 0 1 2 1 2 2 5 32.5 5 1 1 5 5.5 4 4 5 3.5 2 4 6 6 5 6 3.7448363 5.1353416 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
83 -.15730816 9 1 4 0 1 3 4 1 3 6 21.747736 2 0 2 5 4.5 5 5 4 4 6 4 4 4 5 2 3.0610032 2.5674477 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
84 -.59128439 5 0 1 0 4 4 1 7 1 6 37.5 5 1 1 3 3.5 3 3 3.5 3.5 1 4 4 5 5 6 3.1457129 4.1215429 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
85 1.2970346 6 1 1 1 3 4 4 7 1 6 17.5 2 0 7 6 6 6 5.5 4.5 3.5 5 3 6 6 5 6 2.6417458 5.2588844 2 3 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
86 .23584718 5 1 4 0 3 2 3 2 2 4 37.5 2 0 5 6 6 1.5 5.5 3.5 5 1 6 6 6 5 2 1.1810277 4.9919004 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
87 -.74163866 5 1 4 0 3 2 2 1 3 5 22.5 2 0 8 5 5 4 3.5 4 4 5 5 2 6 4 1 1.6465839 4.1428375 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
88 .23620187 8 0 4 0 1 1 2 2 2 5 32.5 2 0 1 4.5 5 3.5 4.5 5 4 2 6 5 6 5 4 2.193248 3.0894601 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
89 .79033315 5 1 4 0 2 1 4 2 2 5 22.5 2 0 5 4 6 5 4 6 5 3 6 5 6 4 6 1.9420993 3.7084939 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
90 -.80708832 16 1 5 0 4 2 1 7 1 5 27.5 2 0 5 6 5.5 4.5 5 4 3.5 2 6 2 6 6 5 2.727145 3.2073481 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
91 -.78283083 5 1 4 0 2 4 2 1 3 7 70 2 0 1 5 6 2.5 5.5 3.5 5 1 6 4 6 6 1 1.3286072 3.6825125 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
92 -.83028555 5 1 3 0 3 3 1 7 1 5 17.5 2 0 1 3.5 4.5 3.5 3.5 4 4 5 2 5 5 5 4 2.0152664 4.0542922 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
93 .79997385 11 1 4 0 4 4 1 7 1 5 17.5 1 0 1 4.5 5.5 1 3.5 1 6 1 4 6 4 5 1 1.0491931 5.3665075 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
94 1.082361 3 1 3 0 4 1 4 2 2 8 45 4 1 2 5.5 5.5 4.5 5.5 4.5 4 3 4 4 5 5 2 1.2794141 4.1189752 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
95 -.041758146 15 1 6 0 2 2 1 7 1 5 18.378139 1 0 5 5.5 6 3.5 5.5 6 4.5 2 5 4 6 6 4 1.8464711 2.4680271 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
96 -.4266946 5 1 4 0 3 2 1 7 1 7 70 2 0 1 4 4 3.5 2.5 4.5 3.5 2 3 6 4 6 5 2.0456686 4.3988481 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
97 -.32062307 8 1 4 0 4 4 2 2 2 8 33.651302 1 0 1 5 4.5 3.5 4.5 3.5 3.5 2 4 6 5 5 2 1.0983864 4.9300447 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
98 -.19988072 5 0 4 0 3 2 1 7 1 6 22.5 1 0 1 4.5 5.5 4 3.5 3.5 5.5 2 4 6 5 6 6 3.6353114 3.9720185 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
99 -.34026265 11 0 3 0 2 4 5 1 3 6 7.5 1 0 2 5 5 4.5 4 4.5 3.5 5 1 2 6 6 5 3.8324404 4.4106002 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
100 -.000037249429 1 1 1 0 3 2 2 2 2 6 17.5 2 0 3 4 6 4.5 4.5 6 3.5 1 4 4 6 5 6 3.1616096 5.6193609 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
101 1.1047715 13 1 4 0 3 4 4 2 2 7 37.5 3 0 8 4.5 6 3.5 4 3.5 4 2 4 5 6 6 3 1.8645725 5.2926397 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
102 1.6069587 8 0 5 0 4 2 1 7 1 7 37.5 2 0 2 6 6 3.5 5 3.5 5.5 2 4 6 6 2 4 1.580044 5.3306332 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
103 1.3432375 9 1 5 0 3 3 1 7 1 5 27.5 2 0 8 5 6 6 5.5 6 4 5 5 6 6 6 6 4.4949894 4.1655636 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
104 .40747443 5 1 2 0 4 4 1 2 2 4 27.5 3 0 2 3.5 5 3 3 2 5.5 1 2 6 4 4 6 3.017061 4.4844675 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
105 -1.6983058 14 0 5 0 2 2 1 2 2 2 22.5 2 0 5 6 6 6 6 4.5 5 5 6 4 6 1 1 1.3778005 3.2460499 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
106 .19607747 11 0 5 0 2 3 1 7 1 1 4 1 0 5 4.5 5.5 5 3.5 6 6 2 1 6 5 1 1 2.6015391 3.724035 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
107 -.31242588 6 1 1 0 4 1 3 7 1 6 37.5 3 1 1 5 4.5 3.5 5 2.5 5.5 3 4 6 6 6 6 3.4189188 5.2251291 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
108 .6934154 5 1 2 1 2 3 1 7 1 5 22.5 4 1 1 4.5 5 4 4 5 4 2 4 6 6 5 6 3.1818509 2.5891912 4 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
109 -1.3355044 4 1 3 0 2 4 3 2 2 5 37.5 4 1 1 5.5 5.5 4 4.5 5 3.5 3 2 6 6 5 6 4.0024128 4.0786033 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
110 -.66995257 15 0 1 0 3 1 1 7 1 4 27.5 2 0 1 4.5 4.5 5.5 4.5 4.5 4.5 5 4 5 6 5 6 2.9154239 5.4517975 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
111 -.053610854 8 1 4 0 1 2 5 1 3 4 12.5 1 0 1 5.5 5 5 3.5 5.5 3.5 5 4 5 5 4 3 2.0565872 4.0852199 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
112 .060165904 5 0 5 0 4 4 1 6 5 5 45 4 0 1 4.5 4.5 3.5 3.5 3.5 4 1 6 6 4 6 6 2.5351987 4.332046 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
113 .58164185 3 0 3 0 2 4 1 7 1 5 32.5 3 1 1 4.5 5.5 3.5 5 3.5 5 3 6 5 6 6 5 3.1616778 5.5366387 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
